ID,Name,Father_Name,Mother_Name,Address,College,CGPA,Sem1_GPA,Sem2_GPA,Attendance_%,Department,Subject1,Subject2,Subject3,MID1_Subject1,MID1_Subject2,MID1_Subject3
2300031121,Manoj Verma,Venkatesh,Sarita,Karnataka,KL University,5.7,6.72,6.39,35,EEE,Power Systems,Control Systems,Electrical Machines,18,24,16
2300031122,Nikhil Verma,Suresh,Padma,Kerala,KL University,7.77,8.74,8.42,67,CSIT,Cloud Computing,Web Technologies,Cyber Security,13,18,5
2300031123,Swathi Verma,Krishna,Lakshmi,Andhra Pradesh,KL University,7.98,8.31,8.11,80,EEE,Power Systems,Control Systems,Electrical Machines,26,29,28
2300031124,Karthik Reddy,Rajesh,Kavitha,Delhi,KL University,8.51,6.62,5.29,95,EEE,Power Systems,Control Systems,Electrical Machines,26,21,6
2300031125,Varun Sharma,Srinivas,Lakshmi,Tamil Nadu,KL University,8.96,7.22,7.86,69,CSIT,Cloud Computing,Web Technologies,Cyber Security,11,20,23
2300031126,Mahesh Gupta,Ramesh,Sarita,Karnataka,KL University,6.85,5.87,5.7,29,AIDS,AIML,NLP,Data Communication,27,12,27
2300031127,Swathi Rao,Suresh,Lakshmi,Telangana,KL University,7.28,7.07,5.92,47,CSIT,Cloud Computing,Web Technologies,Cyber Security,14,7,24
2300031128,Ravi Sharma,Rajesh,Lakshmi,Telangana,KL University,9.52,6.12,5.43,65,CSIT,Cloud Computing,Web Technologies,Cyber Security,10,7,12
2300031129,Kiran Mehta,Rajesh,Rekha,Tamil Nadu,KL University,6.55,6.93,8.67,4,ECE,Embedded Systems,Processors and Controllers,Digital Signals,10,24,11
2300031130,Sanjith Iyer,Srinivas,Lakshmi,West Bengal,KL University,5.89,5.28,9.36,35,ECE,Embedded Systems,Processors and Controllers,Digital Signals,28,11,24
2300031131,Sanjith Verma,Mohan,Anitha,Maharashtra,KL University,7.56,9.35,8.42,46,CSE,Operating Systems,DBMS,Java,5,22,22
2300031132,Swathi Sharma,Srinivas,Padma,Delhi,KL University,9.64,6.2,8.04,85,AIDS,AIML,NLP,Data Communication,28,30,26
2300031133,Manoj Verma,Suresh,Radha,Delhi,KL University,9.72,8.14,6.39,36,CSIT,Cloud Computing,Web Technologies,Cyber Security,13,5,28
2300031134,Sanjith Reddy,Ramesh,Sita,Andhra Pradesh,KL University,5.76,8.42,8.48,53,CSE,Operating Systems,DBMS,Java,10,11,25
2300031135,Pooja Naidu,Venkatesh,Anitha,Rajasthan,KL University,5.99,8.13,6.41,30,ECE,Embedded Systems,Processors and Controllers,Digital Signals,30,14,16
2300031136,Suresh Iyer,Mohan,Radha,Karnataka,KL University,6.42,6.65,5.46,3,CSE,Operating Systems,DBMS,Java,26,17,18
2300031137,Mahesh Singh,Rajesh,Sarita,Telangana,KL University,7.48,6.62,9.24,44,EEE,Power Systems,Control Systems,Electrical Machines,6,10,26
2300031138,Deepika Sharma,Anil,Rekha,West Bengal,KL University,6.34,9.03,7.07,38,EEE,Power Systems,Control Systems,Electrical Machines,25,13,16
2300031139,Vijay Iyer,Venkatesh,Sunitha,Andhra Pradesh,KL University,6.18,7.99,5.71,8,CSIT,Cloud Computing,Web Technologies,Cyber Security,9,9,20
2300031140,Ravi Mehta,Prakash,Lakshmi,Kerala,KL University,9.08,6.88,5.25,21,ECE,Embedded Systems,Processors and Controllers,Digital Signals,19,9,17
2300031141,Ravi Iyer,Prakash,Lakshmi,Rajasthan,KL University,9.12,8.4,8.25,80,CSIT,Cloud Computing,Web Technologies,Cyber Security,20,5,29
2300031142,Rohit Patel,Mohan,Anitha,Maharashtra,KL University,6.71,9.36,7.65,47,CSE,Operating Systems,DBMS,Java,25,10,28
2300031143,Akhil Rao,Suresh,Sunitha,Kerala,KL University,7.26,7.79,7.31,47,ECE,Embedded Systems,Processors and Controllers,Digital Signals,5,17,19
2300031144,Ananya Sharma,Mohan,Sarita,Karnataka,KL University,7.6,5.3,5.26,95,EEE,Power Systems,Control Systems,Electrical Machines,14,19,9
2300031145,Ravi Mehta,Ramesh,Padma,Andhra Pradesh,KL University,9.34,7.63,7.08,1,AIDS,AIML,NLP,Data Communication,10,23,26
2300031146,Sneha Iyer,Anil,Radha,Tamil Nadu,KL University,7.87,7.53,7.66,52,CSIT,Cloud Computing,Web Technologies,Cyber Security,30,7,28
2300031147,Aarav Naidu,Krishna,Rekha,Delhi,KL University,8.06,6.06,6.33,12,EEE,Power Systems,Control Systems,Electrical Machines,15,25,7
2300031148,Ravi Rao,Ashok,Rekha,Maharashtra,KL University,8.8,8.77,6.47,81,EEE,Power Systems,Control Systems,Electrical Machines,26,22,18
2300031149,Nikhil Singh,Suresh,Kavitha,Karnataka,KL University,8.67,5.89,6.76,10,EEE,Power Systems,Control Systems,Electrical Machines,7,7,13
2300031150,Rahul Rao,Rajesh,Geetha,Delhi,KL University,7.72,8.11,6.93,72,CSE,Operating Systems,DBMS,Java,21,19,6
2300031151,Akhil Verma,Ashok,Geetha,Kerala,KL University,7.86,5.03,6.09,27,AIDS,AIML,NLP,Data Communication,10,23,16
2300031152,Kiran Singh,Ashok,Rekha,Rajasthan,KL University,6.91,5.99,6.34,70,CSIT,Cloud Computing,Web Technologies,Cyber Security,28,11,23
2300031153,Mahesh Mehta,Srinivas,Geetha,Andhra Pradesh,KL University,7.26,8.5,5.37,42,CSIT,Cloud Computing,Web Technologies,Cyber Security,22,14,22
2300031154,Sneha Gupta,Mohan,Rekha,Andhra Pradesh,KL University,7.17,9.46,6.31,1,AIDS,AIML,NLP,Data Communication,22,15,22
2300031155,Priya Patel,Rajesh,Rekha,Rajasthan,KL University,5.82,5.77,8.82,20,CSIT,Cloud Computing,Web Technologies,Cyber Security,19,18,15
2300031156,Aarav Verma,Srinivas,Sunitha,Rajasthan,KL University,6.28,8.73,8.34,94,AIDS,AIML,NLP,Data Communication,6,24,26
2300031157,Aarav Naidu,Ramesh,Rekha,West Bengal,KL University,7.86,6.85,7.22,6,CSE,Operating Systems,DBMS,Java,19,12,29
2300031158,Vijay Singh,Srinivas,Anitha,Telangana,KL University,7.49,8.07,8.08,4,ECE,Embedded Systems,Processors and Controllers,Digital Signals,23,7,6
2300031159,Kiran Singh,Prakash,Sunitha,Telangana,KL University,6.49,6.21,7.17,46,ECE,Embedded Systems,Processors and Controllers,Digital Signals,29,17,12
2300031160,Karthik Reddy,Krishna,Sunitha,Maharashtra,KL University,7.25,5.9,6.89,70,CSIT,Cloud Computing,Web Technologies,Cyber Security,29,6,22
2300031161,Karthik Singh,Krishna,Sita,Karnataka,KL University,6.51,7.15,8.78,53,CSE,Operating Systems,DBMS,Java,29,8,21
2300031162,Mahesh Verma,Krishna,Anitha,Kerala,KL University,5.7,8.24,8.34,63,EEE,Power Systems,Control Systems,Electrical Machines,14,30,10
2300031163,Sanjith Patel,Prakash,Kavitha,Rajasthan,KL University,8.11,6.41,7.89,13,CSE,Operating Systems,DBMS,Java,8,28,24
2300031164,Rohit Rao,Krishna,Geetha,Maharashtra,KL University,8.76,5.1,7.12,86,CSIT,Cloud Computing,Web Technologies,Cyber Security,20,11,6
2300031165,Varun Iyer,Rajesh,Sunitha,Telangana,KL University,7.65,7.77,9.42,73,AIDS,AIML,NLP,Data Communication,24,19,10
2300031166,Suresh Rao,Ramesh,Anitha,Andhra Pradesh,KL University,8.49,5.73,8.85,15,ECE,Embedded Systems,Processors and Controllers,Digital Signals,8,9,12
2300031167,Deepika Rao,Srinivas,Geetha,Rajasthan,KL University,7.8,5.34,8.66,97,AIDS,AIML,NLP,Data Communication,14,30,8
2300031168,Ravi Mehta,Srinivas,Sita,Maharashtra,KL University,8.79,6.15,9.3,51,ECE,Embedded Systems,Processors and Controllers,Digital Signals,24,26,12
2300031169,Kiran Iyer,Prakash,Sunitha,Telangana,KL University,9.61,6.55,6.12,38,EEE,Power Systems,Control Systems,Electrical Machines,19,13,11
2300031170,Suresh Rao,Ashok,Rekha,Maharashtra,KL University,9.26,7.78,5.61,66,CSIT,Cloud Computing,Web Technologies,Cyber Security,5,24,16
2300031171,Sanjith Verma,Ramesh,Sunitha,Delhi,KL University,8.19,7.68,7.7,12,ECE,Embedded Systems,Processors and Controllers,Digital Signals,28,21,9
2300031172,Pooja Mehta,Anil,Sarita,Karnataka,KL University,6.22,8.33,5.3,68,CSIT,Cloud Computing,Web Technologies,Cyber Security,21,23,11
2300031173,Ananya Mehta,Venkatesh,Sita,Rajasthan,KL University,7.78,8.57,9.36,87,CSIT,Cloud Computing,Web Technologies,Cyber Security,5,5,13
2300031174,Pooja Iyer,Rajesh,Anitha,Tamil Nadu,KL University,8.17,7.93,8.44,46,EEE,Power Systems,Control Systems,Electrical Machines,27,29,16
2300031175,Swathi Iyer,Prakash,Sita,West Bengal,KL University,5.76,7.67,8.69,85,CSE,Operating Systems,DBMS,Java,8,29,18
